species,roc_auc,pr_auc,f1,mcc,n_test
pantoea_agglomerans,1.0,1.0,1.0,1.0,26
pectobacterium_atrosepticum,1.0,1.0,1.0,1.0,24
pectobacterium_carotovorum,1.0,1.0,1.0,1.0,19
prochlorococcus_marinus,1.0,1.0,0.9090909090909091,0.8958064164776167,32
propionibacterium_acnes,1.0,1.0,1.0,1.0,84
propionibacterium_freudenreichii,1.0,1.0000000000000002,1.0,1.0,36
proteus_mirabilis,0.9949494949494949,0.9920798898071626,0.9,0.8581163303210332,29
pseudoalteromonas_marina,1.0,1.0,1.0,1.0,20
pseudomonas_aeruginosa,0.9838675885187513,0.9949197718792829,0.9809885931558935,0.9124657735047755,166
pseudomonas_fluorescens,1.0,1.0,1.0,1.0,31
pseudomonas_putida,1.0,1.0,1.0,1.0,34
pseudomonas_syringae,1.0,1.0,1.0,1.0,45
ralstonia_solanacearum,1.0,1.0,1.0,1.0,37
rhizobium_etli,1.0,1.0,1.0,1.0,23
rhizobium_leguminosarum,0.9841269841269841,0.9027777777777777,0.8571428571428571,0.8451542547285166,24
rhodobacter_capsulatus,1.0,1.0,1.0,1.0,24
rhodococcus_equi,1.0,1.0,0.9333333333333333,0.9117291264405234,27
rhodococcus_erythropolis,1.0,1.0,1.0,1.0,30
salinibacter_ruber,1.0,1.0,1.0,1.0,23
salmonella_enterica,1.0,1.0,0.9864864864864865,0.962800149036199,115
salmonella_enteritidis,1.0,1.0,1.0,1.0,18
salmonella_paratyphi,1.0,1.0,1.0,1.0,24
salmonella_typhimurium,1.0,1.0,1.0,1.0,34
shewanella sp.,1.0,1.0,1.0,1.0,41
shewanella sp. 10n.6,0.9913746630727763,0.7877400377400376,0.0,0.0,272
shewanella sp. m16,1.0,1.0,1.0,1.0,30
shigella_boydii,0.9600000000000001,0.711111111111111,0.6666666666666666,0.6633249580710799,28
shigella_flexneri,0.9827586206896551,0.9776795682387788,0.9,0.8310344827586207,49
shigella_sonnei,0.9895833333333334,0.978108003108003,0.96,0.9405399431259603,36
sinorhizobium_meliloti,1.0,1.0,0.8333333333333334,0.809173593712687,29
staphylococcus_aureus,0.9638107021342406,0.9778076186996304,0.8631578947368421,0.7134096409525026,167
staphylococcus_auricularis,0.9722222222222223,0.65,0.6666666666666666,0.6804138174397716,58
staphylococcus_capitis,0.8277777777777778,0.578750807044319,0.10526315789473684,0.19744962591969745,58
staphylococcus_chromogenes,0.9640625,0.9428844176530611,0.5185185185185185,0.4988876515698588,52
staphylococcus_cohnii,0.8828125,0.6641339637882956,0.4,0.2854496128592251,64
staphylococcus_epidermidis,0.9282051282051282,0.9301977850645705,0.819672131147541,0.7202018543425193,74
staphylococcus_equorum,0.9602564102564103,0.9061353976466542,0.625,0.5276928272670396,59
staphylococcus_fleuretti,0.9005102040816327,0.3817190745762174,0.0,-0.04490132550669373,63
staphylococcus_haemolyticus,0.8630952380952381,0.4724641677766678,0.2857142857142857,0.3911591293589788,62
staphylococcus_hyicus,0.8921568627450981,0.5230191491801399,0.2222222222222222,0.17516461808179604,57
staphylococcus_kloosii,0.8126934984520124,0.5692293493342443,0.16666666666666666,-0.019317753130834944,55
staphylococcus_lentus,0.7478260869565216,0.32410711740513753,0.0,0.0,56
staphylococcus_lugdunensis,0.8922077922077922,0.8473033589726084,0.4827586206896552,0.47193990372426947,57
staphylococcus_pasteuri,0.9010416666666666,0.23905228758169933,0.0,0.0,67
staphylococcus_pettenkoferi,0.8571428571428572,0.45712233169129723,0.5,0.4848317369838872,60
staphylococcus_saprophyticus,0.7463768115942029,0.41334610472541505,0.2857142857142857,0.27063606642891935,49
staphylococcus_schleiferi,0.91125,0.8863744413547331,0.3870967741935484,0.38805700005813276,57
staphylococcus_sciuri,0.7341935483870967,0.6117061606846043,0.14814814814814814,0.2143033502442879,56
staphylococcus_succinus,0.8915145005370569,0.675934142970074,0.1,0.19619314913492364,68
staphylococcus_vitulinus,0.9833971902937421,0.9837189577639384,0.8679245283018868,0.7634141680612132,56
staphylococcus_warneri,0.7638888888888888,0.18632936507936507,0.0,-0.03604920469572501,58
staphylococcus_xylosus,0.998917748917749,0.9987464813511611,0.1935483870967742,0.24690198689562004,61
streptococcus_pyogenes,1.0,1.0,1.0,1.0,29
streptococcus_thermophilus,1.0,1.0,1.0,1.0,40
streptomyces_avermitilis,1.0,1.0,1.0,1.0,23
streptomyces_coelicolor,1.0,1.0,1.0,1.0,20
streptomyces_griseus,1.0,1.0,1.0,1.0,41
streptomyces_lividans,1.0,0.9999999999999998,1.0,1.0,22
streptomyces_venezuelae,1.0,1.0,1.0,1.0,23
thermus_thermophilus,1.0,1.0,1.0,1.0,29
vibrio alginolyticus,1.0,1.0,1.0,1.0,339
vibrio alginolyticus nbrc 15630 = atcc 17749,0.9940476190476191,0.9662698412698412,0.7,0.6864064729836441,55
vibrio anguillarum,0.9895131659522352,0.8652985937706245,0.9292929292929293,0.9200717484645504,330
vibrio breoganii,0.9676445578231292,0.8984669509598654,0.54421768707483,0.519665398638079,329
vibrio campbellii,1.0,1.0,1.0,1.0,53
vibrio campbellii atcc baa-1116,1.0,0.9999999999999998,0.875,0.8529938840977956,38
vibrio campbellii hy01,1.0,1.0,0.8571428571428571,0.8558961032361835,46
vibrio cholerae,0.9992283950617283,0.9996220535604095,0.9793103448275862,0.9372692149074925,108
