species,roc_auc,pr_auc,f1,mcc,n_test
streptococcus_pyogenes,1.0,1.0,1.0,1.0,29
streptococcus_thermophilus,1.0,1.0,1.0,1.0,40
streptomyces_avermitilis,1.0,1.0,1.0,1.0,23
streptomyces_coelicolor,1.0,1.0,1.0,1.0,20
streptomyces_griseus,1.0,1.0,1.0,1.0,41
streptomyces_lividans,1.0,0.9999999999999998,1.0,1.0,22
streptomyces_venezuelae,1.0,1.0,1.0,1.0,23
thermus_thermophilus,1.0,1.0,1.0,1.0,29
vibrio alginolyticus,1.0,1.0,1.0,1.0,339
vibrio alginolyticus nbrc 15630 = atcc 17749,1.0,1.0,1.0,1.0,56
vibrio anguillarum,1.0,1.0,1.0,1.0,330
vibrio breoganii,0.9803571428571428,0.974588100697849,0.9411764705882352,0.9156094933979916,329
vibrio campbellii,1.0,1.0,1.0,1.0,52
vibrio campbellii atcc baa-1116,1.0,0.9999999999999998,1.0,1.0,38
vibrio campbellii hy01,0.9844961240310076,0.7638888888888888,0.6666666666666666,0.6819943394704735,46
vibrio cholerae,0.9926697530864196,0.9958811590286096,0.9793103448275862,0.9372692149074924,108
vibrio cholerae o1,1.0,1.0,1.0,1.0,66
vibrio cholerae o1 biovar el tor,0.9511278195488724,0.7595982390625248,0.9333333333333332,0.910465468000326,52
vibrio cholerae o139,1.0,1.0,1.0,1.0,56
vibrio coralliilyticus,1.0,1.0,1.0,1.0,50
vibrio coralliilyticus p1,1.0,1.0,1.0,1.0,40
vibrio crassostreae,1.0,1.0,1.0,1.0,624
vibrio cyclitrophicus,0.9961503623188406,0.9958461159202904,0.947945205479452,0.9122979136589094,422
vibrio cyclitrophicus 1f273,1.0,1.0,1.0,1.0,58
vibrio cyclitrophicus 1f53,1.0,1.0,1.0,1.0,46
vibrio harveyi,1.0,1.0,1.0,1.0,90
vibrio kanaloae,0.9831528279181708,0.2188492063492063,0.2222222222222222,0.2241557443445841,280
vibrio lentus,0.9842639445435666,0.9888895023809768,0.9653179190751444,0.9369154157064864,370
vibrio mediterranei,1.0,1.0,1.0,1.0,46
vibrio natriegens,0.9973544973544972,0.9882716049382718,0.9473684210526316,0.9373214115613856,51
vibrio neocaledonicus,1.0,1.0,1.0,1.0,50
vibrio parahaemolyticus,1.0,1.0000000000000002,0.9970326409495548,0.9952421829293,446
vibrio parahaemolyticus rimd 2210633,1.0,1.0,0.8571428571428571,0.8548504142651103,42
vibrio sp.,0.998529411764706,0.9991491480587044,0.9882352941176472,0.9674019607843136,133
vibrio sp. 10n.1,0.9502239920358388,0.771475174228107,0.75,0.7493257559800652,294
vibrio sp. 10n.2,1.0,1.0,0.5,0.5711308748355985,283
vibrio sp. f12,0.9896685898295988,0.9225852818061016,0.5365853658536586,0.5652183398327109,286
vibrio sp. f13,0.9977758007117438,0.9538533127143324,0.8823529411764706,0.8769442705140493,297
vibrio splendidus,0.9776430466085638,0.9459127573492804,0.8263473053892215,0.7721153049831563,323
vibrio tasmaniensis,0.9672202797202796,0.8863594622392007,0.875,0.8715034965034965,294
vibrio vulnificus,0.9964664310954064,0.9258241758241756,0.8,0.7965816572045918,290
vibrio_alginolyticus,1.0,1.0,1.0,1.0,21
vibrio_cholerae,1.0,0.9999999999999998,1.0,1.0,45
vibrio_harveyi,1.0,1.0,1.0,1.0,29
vibrio_parahaemolyticus,1.0,1.0,0.9714285714285714,0.9574271077563382,51
vibrio_splendidus,1.0,1.0,1.0,1.0,26
vibrio_vulnificus,1.0,1.0,1.0,1.0,21
xanthomonas_campestris,1.0,1.0,0.8571428571428571,0.8461141122266493,25
xanthomonas_oryzae,1.0,1.0,1.0,1.0,27
xylella_fastidiosa,1.0,1.0,1.0,1.0,27
yersinia_enterocolitica,1.0,1.0000000000000002,0.9473684210526316,0.926871570979987,31
yersinia_pestis,1.0,1.0,1.0,1.0,28
