species,status,level
pedobacter_africanus,ok,Contig
phormidium_foveolarum,ok,Contig
photobacterium_damselae,ok,Contig
planomicrobium_okeanokoites,ok,Contig
porphyromonas_gingivalis,ok,Contig
prochlorococcus_marinus,ok,Contig
propionibacterium_acnes,ok,Contig
propionibacterium_freudenreichii,ok,Contig
proteus_mirabilis,ok,Contig
proteus_vulgaris,ok,Contig
providencia_stuartii,ok,Contig
pseudoalteromonas_arctica,ok,Contig
pseudoalteromonas_atlantica,ok,Contig
pseudoalteromonas_marina,ok,Contig
pseudoalteromonas_nigrifaciens,ok,Contig
pseudoalteromonas_phenolica,ok,Contig
pseudoalteromonas_translucida,ok,Contig
pseudomonas_aeruginosa,ok,Contig
pseudomonas_agarici,ok,Contig
pseudomonas_chlororaphis,ok,Contig
pseudomonas_cichorii,ok,Contig
pseudomonas_costantinii,ok,Contig
pseudomonas_fluorescens,ok,Contig
pseudomonas_gingeri,ok,Contig
pseudomonas_poae,ok,Contig
pseudomonas_putida,ok,Contig
pseudomonas_putrefaciens,ok,Contig
pseudomonas_rhizosphaerae,ok,Contig
pseudomonas_segetis,ok,Contig
pseudomonas_syringae,ok,Contig
pseudomonas_taetrolens,ok,Contig
pseudomonas_tolaasii,ok,Contig
ralstonia_pickettii,ok,Contig
ralstonia_solanacearum,ok,Contig
raoultella_ornithinolytica,ok,Contig
rhizobium_etli,ok,Contig
rhizobium_gallicum,ok,Contig
rhizobium_leguminosarum,ok,Contig
rhizobium_leucaenae,ok,Contig
rhizobium_radiobacter,ok,Contig
rhodobacter_capsulatus,ok,Contig
rhodobacter_sphaeroides,ok,Contig
rhodococcus_equi,no_taxon,
rhodococcus_erythropolis,ok,Contig
rhodococcus_fascians,no_taxon,
rhodococcus_globerulus,ok,Contig
rhodococcus_opacus,ok,Contig
rhodococcus_rhodochrous,ok,Contig
rhodococcus_ruber,ok,Contig
rhodopseudomonas_palustris,ok,Contig
rhodospirillum_centenum,ok,Contig
rhodothermus_marinus,ok,Contig
riemerella_anatipestifer,ok,Contig
roseobacter_denitrificans,ok,Contig
roseobacter_litoralis,ok,Contig
ruegeria_pomeroyi,ok,Contig
saccharibacter_floricola,ok,Contig
salinibacter_ruber,ok,Contig
salinivibrio_costicola,ok,Contig
salmonella_enterica,ok,Contig
