phage,host,accession,cluster,subcluster,label,source
adora,gordonia terrae,MK061406,,,1,phagesdb
adorahj,gordonia rubripertincta,,,,1,phagesdb
adri,arthrobacter globiformis,,,,1,phagesdb
adrian,mycobacterium smegmatis,,,,1,phagesdb
adriana,mycobacterium smegmatis,MT897901,,,1,phagesdb
adrianacaiden,gordonia rubripertincta,,,,1,phagesdb
adriano919,mycobacterium smegmatis,,,,1,phagesdb
adrienne,mycobacterium smegmatis,,,,1,phagesdb
adronitis,mycobacterium smegmatis,,,,1,phagesdb
adsumo,microbacterium foliorum,,,,1,phagesdb
adubz,microbacterium paraoxydans,,,,1,phagesdb
adumb2043,arthrobacter globiformis,MT889375,,,1,phagesdb
aduonum,mycobacterium smegmatis,,,,1,phagesdb
adva,mycobacterium smegmatis,,,,1,phagesdb
adversity,arthrobacter globiformis,,,,1,phagesdb
advikay,microbacterium foliorum,,,,1,phagesdb
adwa,mycobacterium smegmatis,,,,1,phagesdb
adzzy,mycobacterium smegmatis,KF416344,,,1,phagesdb
aeger,mycobacterium smegmatis,,,,1,phagesdb
aegeus,mycobacterium chelonae,OR159668,,,1,phagesdb
aegis,microbacterium paraoxydans,,,,1,phagesdb
aegis0001,mycobacterium smegmatis,,,,1,phagesdb
aegle,arthrobacter globiformis,,,,1,phagesdb
aegon,gordonia terrae,,,,1,phagesdb
aein,gordonia terrae,,,,1,phagesdb
aelin,mycobacterium smegmatis,MW534377,,,1,phagesdb
aella,mycobacterium smegmatis,,,,1,phagesdb
aeneas,mycobacterium smegmatis,JQ809703,,,1,phagesdb
aeon,rhodococcus erythropolis,,,,1,phagesdb
aerie,gordonia terrae,,,,1,phagesdb
aerion,microbacterium foliorum,,,,1,phagesdb
aeris,microbacterium foliorum,,,,1,phagesdb
aerosmith,microbacterium foliorum,,,,1,phagesdb
aertenusvintus,mycobacterium smegmatis,,,,1,phagesdb
aesir,microbacterium foliorum,MT684592,,,1,phagesdb
aesop,mycobacterium smegmatis,,,,1,phagesdb
aeternus,microbacterium foliorum,,,,1,phagesdb
aethelflaed,microbacterium foliorum,,,,1,phagesdb
aether,streptomyces griseus,,,,1,phagesdb
aetheria,mycobacterium smegmatis,,,,1,phagesdb
aetherius,microbacterium foliorum,,,,1,phagesdb
affeca,gordonia terrae,MH976506,,,1,phagesdb
affiong,mycobacterium smegmatis,,,,1,phagesdb
afis,mycobacterium smegmatis,MK359300,,,1,phagesdb
aflac,gordonia rubripertincta,MW862987,,,1,phagesdb
aflex,arthrobacter globiformis,,,,1,phagesdb
afln,mycobacterium smegmatis,,,,1,phagesdb
afone,mycobacterium smegmatis,,,,1,phagesdb
afreesh,arthrobacter globiformis,,,,1,phagesdb
afreewelcome,arthrobacter sp.,,,,1,phagesdb
afrot,mycobacterium smegmatis,,,,1,phagesdb
afterhours,microbacterium foliorum,,,,1,phagesdb
afternoondlite,mycobacterium smegmatis,,,,1,phagesdb
aftershock,mycobacterium smegmatis,,,,1,phagesdb
afua,mycobacterium smegmatis,,,,1,phagesdb
agagals,gordonia rubripertincta,,,,1,phagesdb
agaliana,mycobacterium smegmatis,,,,1,phagesdb
agamemnon,microbacterium foliorum,,,,1,phagesdb
agamotto,arthrobacter globiformis,,,,1,phagesdb
agape,mycobacterium smegmatis,,,,1,phagesdb
agape10,gordonia terrae,,,,1,phagesdb
agape74,mycobacterium smegmatis,MZ820090,,,1,phagesdb
agarage1,mycobacterium smegmatis,,,,1,phagesdb
agartus,microbacterium foliorum,,,,1,phagesdb
agastonier,microbacterium foliorum,,,,1,phagesdb
agata02,mycobacterium smegmatis,,,,1,phagesdb
agatha,gordonia terrae,MK875795,,,1,phagesdb
agchariot,microbacterium foliorum,,,,1,phagesdb
agent007,mycobacterium smegmatis,,,,1,phagesdb
agent10a,mycobacterium smegmatis,,,,1,phagesdb
agent47,mycobacterium smegmatis,PP978866,,,1,phagesdb
agentbbq,gordonia terrae,,,,1,phagesdb
agentbond,microbacterium foliorum,,,,1,phagesdb
agentc,mycobacterium smegmatis,,,,1,phagesdb
agente005,microbacterium foliorum,PP978889,,,1,phagesdb
agentglossy,mycobacterium smegmatis,,,,1,phagesdb
agenthanbury,microbacterium foliorum,,,,1,phagesdb
agentj,mycobacterium smegmatis,,,,1,phagesdb
agentm,mycobacterium smegmatis,MG099934,,,1,phagesdb
agentp,microbacterium foliorum,,,,1,phagesdb
agentsmith,mycobacterium smegmatis,,,,1,phagesdb
ageofdapage,mycobacterium smegmatis,OR521076,,,1,phagesdb
ages,mycobacterium smegmatis,,,,1,phagesdb
agethamiemphi,mycobacterium smegmatis,,,,1,phagesdb
aggie,mycobacterium smegmatis,MH697576,,,1,phagesdb
aggy,microbacterium foliorum,,,,1,phagesdb
aginita,streptomyces mirabilis,,,,1,phagesdb
agitator,mycobacterium smegmatis,,,,1,phagesdb
agitha21,mycobacterium smegmatis,,,,1,phagesdb
agkelos,mycobacterium smegmatis,,,,1,phagesdb
aglet,mycobacterium smegmatis,KX507362,,,1,phagesdb
agnatexea16,mycobacterium smegmatis,,,,1,phagesdb
agnes,mycobacterium smegmatis,,,,1,phagesdb
agnes3,microbacterium foliorum,,,,1,phagesdb
agnes702,gordonia rubripertincta,,,,1,phagesdb
agnesa,gordonia terrae,,,,1,phagesdb
agnetha,microbacterium foliorum,,,,1,phagesdb
agnodice,mycobacterium smegmatis,,,,1,phagesdb
agomus,microbacterium foliorum,,,,1,phagesdb
agongar,microbacterium foliorum,,,,1,phagesdb
agony,streptomyces griseus,,,,1,phagesdb
agorilla,mycobacterium smegmatis,,,,1,phagesdb
agrandiflora,arthrobacter globiformis,,,,1,phagesdb
agronagt15,mycobacterium smegmatis,MN585984,,,1,phagesdb
agueybana,gordonia terrae,MZ274304,,,1,phagesdb
aguilar,streptomyces sanglieri,,,,1,phagesdb
agumnasia,mycobacterium smegmatis,,,,1,phagesdb
aguona,mycobacterium smegmatis,,,,1,phagesdb
agwe,mycobacterium smegmatis,,,,1,phagesdb
ahawk10,mycobacterium smegmatis,,,,1,phagesdb
ahera,mycobacterium smegmatis,,,,1,phagesdb
ahetob,mycobacterium smegmatis,,,,1,phagesdb
ahjhai,mycobacterium smegmatis,,,,1,phagesdb
ahlapota,mycobacterium smegmatis,,,,1,phagesdb
ahlaya,mycobacterium smegmatis,,,,1,phagesdb
ahlen,mycobacterium smegmatis,,,,1,phagesdb
ahleritis,mycobacterium smegmatis,,,,1,phagesdb
ahmadissa,mycobacterium smegmatis,,,,1,phagesdb
ahmed,mycobacterium smegmatis,,,,1,phagesdb
ahndy,mycobacterium smegmatis,,,,1,phagesdb
ahosey,mycobacterium smegmatis,,,,1,phagesdb
ahsoka,microbacterium foliorum,,,,1,phagesdb
ahwei,mycobacterium smegmatis,,,,1,phagesdb
ahwi,microbacterium foliorum,,,,1,phagesdb
ahzum,streptomyces sanglieri,,,,1,phagesdb
aida,microbacterium foliorum,,,,1,phagesdb
aiden,microbacterium foliorum,,,,1,phagesdb
aifos,microbacterium foliorum,,,,1,phagesdb
aiftaras,mycobacterium smegmatis,,,,1,phagesdb
aikem92,streptomyces griseus,,,,1,phagesdb
aikocarson,gordonia terrae,MZ322013,,,1,phagesdb
aikoy,mycobacterium smegmatis,OR159654,,,1,phagesdb
aikyam,arthrobacter globiformis,,,,1,phagesdb
ail22,streptomyces scabiei,,,,1,phagesdb
ailee,gordonia terrae,MH976507,,,1,phagesdb
ailurophile,microbacterium foliorum,,,,1,phagesdb
aina,mycobacterium avium,,,,1,phagesdb
ainmach,arthrobacter sulfureus,,,,1,phagesdb
ainslie,mycobacterium smegmatis,,,,1,phagesdb
aintnoscrub,gordonia terrae,,,,1,phagesdb
aiofeduck,arthrobacter globiformis,,,,1,phagesdb
aioli,microbacterium foliorum,,,,1,phagesdb
aion,mycobacterium smegmatis,,,,1,phagesdb
aionios,microbacterium foliorum,,,,1,phagesdb
airam,microbacterium foliorum,,,,1,phagesdb
airball,arthrobacter globiformis,,,,1,phagesdb
